CustomerID,ChurnStatus,ChurnReason
C1,Active,Other
C2,Active,Service Quality
C3,Active,Service Quality
C4,Active,Other
C5,Churned,Competitor
C6,Active,Service Quality
C7,Active,Other
C8,Active,Other
C9,Active,Other
C10,Active,Pricing
C11,Active,Other
C12,Active,Other
C13,Active,Pricing
C14,Churned,Other
C15,Active,Service Quality
C16,Active,Competitor
C17,Active,Pricing
C18,Active,Other
C19,Active,Competitor
C20,Active,Service Quality
C21,Active,Service Quality
C22,Active,Competitor
C23,Active,Competitor
C24,Churned,Other
C25,Active,Service Quality
C26,Active,Competitor
C27,Active,Pricing
C28,Active,Service Quality
C29,Active,Competitor
C30,Active,Other
C31,Active,Competitor
C32,Active,Service Quality
C33,Churned,Other
C34,Active,Pricing
C35,Active,Other
C36,Active,Other
C37,Active,Pricing
C38,Churned,Competitor
C39,Churned,Service Quality
C40,Active,Pricing
C41,Churned,Competitor
C42,Active,Pricing
C43,Active,Pricing
C44,Churned,Other
C45,Active,Pricing
C46,Churned,Competitor
C47,Churned,Other
C48,Active,Other
C49,Active,Competitor
C50,Active,Service Quality
C51,Active,Pricing
C52,Active,Service Quality
C53,Churned,Pricing
C54,Churned,Competitor
C55,Active,Competitor
C56,Active,Other
C57,Active,Service Quality
C58,Churned,Other
C59,Active,Pricing
C60,Active,Competitor
C61,Active,Competitor
C62,Active,Other
C63,Active,Other
C64,Active,Pricing
C65,Churned,Competitor
C66,Active,Service Quality
C67,Active,Competitor
C68,Active,Other
C69,Churned,Pricing
C70,Active,Service Quality
C71,Active,Pricing
C72,Active,Competitor
C73,Active,Competitor
C74,Active,Service Quality
C75,Active,Pricing
C76,Active,Competitor
C77,Active,Service Quality
C78,Active,Other
C79,Active,Other
C80,Active,Pricing
C81,Active,Competitor
C82,Active,Service Quality
C83,Active,Service Quality
C84,Active,Competitor
C85,Churned,Competitor
C86,Active,Competitor
C87,Active,Competitor
C88,Active,Pricing
C89,Active,Service Quality
C90,Churned,Service Quality
C91,Churned,Other
C92,Active,Service Quality
C93,Active,Pricing
C94,Active,Service Quality
C95,Active,Other
C96,Active,Pricing
C97,Churned,Service Quality
C98,Churned,Competitor
C99,Active,Competitor
C100,Active,Service Quality
C101,Active,Other
C102,Active,Other
C103,Active,Service Quality
C104,Active,Service Quality
C105,Active,Competitor
C106,Active,Service Quality
C107,Active,Pricing
C108,Churned,Other
C109,Active,Service Quality
C110,Active,Competitor
C111,Active,Pricing
C112,Active,Other
C113,Active,Service Quality
C114,Churned,Pricing
C115,Active,Competitor
C116,Churned,Competitor
C117,Churned,Service Quality
C118,Active,Service Quality
C119,Active,Pricing
C120,Churned,Service Quality
C121,Active,Competitor
C122,Churned,Pricing
C123,Active,Service Quality
C124,Active,Other
