CustomerID,Age,Gender,Income
C1,25,Male,80266
C2,20,Other,114225
C3,24,Male,103772
C4,67,Other,105985
C5,38,Other,89789
C6,59,Other,59110
C7,29,Male,141951
C8,52,Female,42738
C9,50,Male,110689
C10,65,Female,118861
C11,63,Female,48016
C12,62,Male,60247
C13,50,Female,55732
C14,46,Male,82131
C15,22,Other,85757
C16,59,Male,67894
C17,45,Female,31860
C18,67,Male,99439
C19,43,Female,114514
C20,21,Other,37613
C21,49,Other,71527
C22,28,Female,113660
C23,36,Other,134743
C24,35,Female,118713
C25,19,Male,40107
C26,51,Female,55214
C27,32,Male,68839
C28,31,Other,85062
C29,69,Male,133037
C30,39,Male,81964
C31,61,Female,48756
C32,34,Other,134543
C33,66,Other,103470
C34,32,Female,58578
C35,31,Other,96420
C36,28,Other,124814
C37,45,Other,33396
C38,61,Other,53632
C39,27,Other,77312
C40,30,Male,58337
C41,66,Other,66245
C42,62,Other,134863
C43,40,Female,123505
C44,56,Male,43824
C45,68,Male,50392
C46,59,Female,38990
C47,59,Male,142736
C48,21,Female,58634
C49,62,Other,78941
C50,57,Female,30519
C51,49,Female,51191
C52,44,Male,96355
C53,49,Female,105896
C54,62,Other,131505
C55,38,Male,81865
C56,43,Other,60455
C57,25,Other,109960
C58,61,Other,91155
C59,67,Male,53899
C60,55,Other,96017
C61,18,Other,88069
C62,65,Female,44252
C63,63,Other,146089
C64,38,Other,80259
C65,41,Female,90106
C66,67,Other,50845
C67,50,Male,143242
C68,68,Female,98217
C69,56,Other,76919
C70,39,Male,34277
C71,50,Other,35707
C72,39,Female,147720
C73,42,Female,101238
C74,31,Female,105868
C75,31,Other,87489
C76,43,Other,70384
C77,36,Male,112396
C78,40,Female,68470
C79,62,Other,32331
C80,64,Other,60290
C81,35,Other,112782
C82,64,Other,83057
C83,51,Other,122325
C84,33,Other,112877
C85,65,Male,111472
C86,43,Male,99470
C87,31,Female,80289
C88,57,Male,114058
C89,45,Female,58451
C90,24,Male,52770
C91,31,Female,88690
C92,30,Female,52313
C93,62,Female,96048
C94,53,Other,149172
C95,19,Other,104332
C96,61,Other,44146
C97,29,Female,85578
C98,23,Other,117256
C99,34,Other,31974
C100,43,Female,33618
C101,53,Other,78997
C102,43,Female,114321
C103,27,Male,101503
C104,37,Other,70541
C105,53,Female,46750
C106,42,Other,40831
C107,23,Other,135917
C108,22,Female,79160
C109,30,Male,94825
C110,18,Other,94993
C111,62,Male,55940
C112,55,Female,132521
C113,46,Female,62079
C114,30,Other,145122
C115,37,Male,142336
C116,67,Female,128730
C117,28,Other,99870
C118,42,Female,147777
C119,43,Male,43627
C120,23,Other,67358
C121,66,Other,30178
C122,56,Female,53609
C123,52,Male,118685
C124,24,Male,39121
C125,32,Female,89254
C126,68,Female,103538
C127,22,Female,66672
C128,35,Male,92922
C129,55,Female,140204
C130,62,Other,143259
C131,24,Male,61616
C132,52,Other,123467
C133,22,Male,31803
C134,43,Male,40258
C135,62,Other,79718
C136,67,Other,54492
C137,37,Male,31735
C138,62,Female,138801
C139,54,Female,125786
C140,32,Male,64923
C141,41,Male,82502
C142,64,Female,127482
C143,50,Male,96350
C144,23,Other,103746
C145,50,Male,100760
C146,38,Female,62553
C147,48,Female,72770
C148,28,Other,119642
C149,67,Female,83929
C150,69,Male,48712
C151,61,Male,97847
C152,52,Male,145182
C153,46,Other,103019
C154,25,Male,107918
C155,53,Male,147731
C156,35,Male,143182
C157,32,Male,101753
C158,43,Female,49439
C159,49,Male,76347
C160,61,Other,109425
C161,44,Other,46886
C162,34,Male,112303
C163,52,Male,143292
C164,54,Other,118173
C165,29,Female,147533
C166,65,Other,101010
C167,19,Male,80692
C168,63,Female,80807
C169,47,Other,126044
C170,31,Other,85732
C171,28,Male,46905
C172,36,Female,81358
C173,38,Male,121673
C174,22,Male,80729
C175,25,Female,57348
C176,40,Female,76162
C177,53,Female,63931
C178,29,Male,47631
C179,19,Other,94872
C180,26,Female,101394
C181,65,Female,123518
C182,18,Female,147275
C183,68,Female,108308
C184,41,Male,125798
C185,28,Female,83744
C186,20,Male,138960
C187,65,Other,81788
C188,33,Female,149123
C189,21,Male,44613
C190,44,Male,53681
C191,68,Male,39264
C192,53,Other,101068
C193,66,Female,126585
C194,49,Other,121937
C195,54,Other,70956
C196,58,Male,146329
C197,69,Female,76526
C198,52,Female,101790
C199,54,Male,87197
C200,55,Female,98744
C201,64,Other,79929
C202,35,Other,73756
C203,60,Other,45255
C204,57,Other,92986
C205,22,Other,92349
C206,25,Female,82393
C207,53,Female,136155
C208,31,Female,57658
C209,55,Male,55243
C210,43,Other,92746
C211,53,Other,52451
C212,69,Female,42019
C213,34,Female,131458
C214,50,Other,134302
C215,25,Female,46854
C216,33,Female,138093
C217,61,Male,134567
C218,49,Female,111503
C219,60,Male,128353
C220,31,Male,87983
C221,26,Male,54694
C222,18,Male,81900
C223,42,Other,109751
C224,30,Male,109548
C225,63,Other,110839
C226,29,Male,94742
C227,38,Female,102330
C228,53,Male,85767
C229,60,Male,95356
C230,41,Female,66336
C231,39,Male,85148
C232,30,Female,46594
C233,40,Male,43968
C234,50,Other,44449
C235,29,Male,120565
C236,44,Other,94404
C237,42,Female,52522
C238,19,Male,63469
C239,28,Female,66629
C240,36,Other,104332
C241,68,Male,76706
C242,33,Female,53302
C243,60,Other,78424
C244,24,Female,100086
C245,51,Male,42388
C246,22,Other,118701
C247,67,Female,89487
C248,41,Male,118586
C249,55,Other,141729
C250,56,Male,102109
C251,42,Male,121238
C252,18,Female,107383
C253,49,Other,84897
C254,60,Other,108727
C255,22,Male,129738
C256,61,Female,88522
C257,27,Other,55659
C258,56,Other,117225
C259,52,Other,95549
C260,22,Male,80661
C261,24,Other,97572
C262,20,Male,46956
C263,69,Male,146024
C264,42,Other,140327
C265,55,Other,137077
C266,22,Other,106328
C267,18,Female,51141
C268,36,Other,130068
C269,67,Other,57534
C270,61,Male,120987
C271,35,Female,69985
C272,32,Other,105519
C273,64,Other,36558
C274,64,Male,40967
C275,31,Female,40781
C276,38,Female,41383
C277,55,Other,71161
C278,23,Male,104790
C279,26,Male,105825
C280,60,Other,67893
C281,32,Male,107844
C282,48,Male,73651
C283,47,Female,35815
C284,56,Other,138311
C285,23,Male,126214
C286,21,Other,40781
C287,57,Male,46763
C288,23,Male,51873
C289,44,Male,64700
C290,31,Male,36526
C291,51,Female,96572
C292,59,Other,106351
C293,52,Female,139341
C294,33,Male,74164
C295,33,Female,81003
C296,32,Other,71859
C297,42,Male,127173
C298,35,Female,54206
C299,22,Female,92477
C300,55,Male,120210
C301,29,Female,72582
C302,27,Male,53425
C303,69,Other,64462
C304,57,Male,63862
C305,50,Male,95305
C306,69,Male,52388
C307,49,Male,75210
C308,41,Female,142839
C309,47,Other,99566
C310,55,Male,97145
C311,32,Male,134373
C312,37,Male,106192
C313,57,Male,82167
C314,22,Male,90948
C315,27,Other,125095
C316,28,Other,120263
C317,45,Other,116919
C318,63,Other,44228
C319,38,Male,126247
C320,35,Male,103802
C321,61,Other,75644
C322,32,Female,91113
C323,69,Male,40079
C324,52,Female,109047
C325,23,Female,99550
C326,34,Other,86179
C327,18,Female,141941
C328,52,Male,41888
C329,43,Male,122096
C330,28,Other,44044
C331,45,Female,146837
C332,61,Male,80588
C333,36,Other,148037
C334,66,Other,85862
C335,52,Male,139359
C336,27,Female,54539
C337,66,Male,75142
C338,51,Other,110312
C339,25,Male,101691
C340,27,Male,120168
C341,50,Female,135294
C342,37,Other,65268
C343,44,Other,112388
C344,47,Male,77350
C345,31,Other,112445
C346,35,Female,102097
C347,29,Male,147572
C348,46,Female,61487
C349,46,Other,72092
C350,52,Female,79824
C351,39,Male,39244
C352,65,Other,91958
C353,35,Female,146074
C354,56,Male,110360
C355,25,Male,138533
C356,67,Other,68326
C357,45,Male,139578
C358,42,Male,34180
C359,58,Female,50325
C360,42,Female,117562
C361,65,Other,134943
C362,53,Male,81172
C363,34,Female,31333
C364,18,Other,40632
C365,30,Other,31207
C366,67,Other,31350
C367,48,Other,66279
C368,53,Other,127929
C369,51,Male,123543
C370,42,Female,113329
C371,52,Female,56903
C372,28,Other,113197
C373,53,Other,67683
C374,29,Male,40013
C375,30,Other,90338
C376,59,Other,73835
C377,41,Male,87333
C378,59,Other,133767
C379,32,Other,109562
C380,40,Male,58450
C381,18,Male,47019
C382,53,Other,80812
C383,67,Other,124575
C384,20,Male,112239
C385,47,Male,52258
C386,37,Male,30474
C387,60,Other,118282
C388,28,Female,91626
C389,18,Other,99719
C390,66,Female,81857
C391,25,Male,104825
C392,35,Other,55014
C393,67,Male,99587
C394,18,Other,122169
C395,20,Male,118278
C396,48,Male,79935
C397,23,Other,41351
C398,68,Female,102823
C399,38,Male,34567
C400,58,Other,134916
C401,26,Other,92358
C402,50,Male,147957
C403,45,Female,111729
C404,58,Female,41304
C405,68,Female,147440
C406,56,Male,146977
C407,50,Other,62658
C408,67,Male,142278
C409,35,Other,90383
C410,24,Other,84891
C411,51,Male,109691
C412,55,Other,127665
C413,26,Male,72302
C414,33,Female,141072
C415,34,Male,46039
C416,45,Female,108088
C417,23,Other,64985
C418,55,Male,30047
C419,53,Other,58372
C420,18,Female,37755
C421,55,Other,110634
C422,52,Other,133931
C423,36,Male,104910
C424,63,Female,140185
C425,67,Female,55698
C426,66,Male,45121
C427,30,Female,58056
C428,59,Male,144637
C429,67,Other,69237
C430,46,Other,109461
C431,18,Male,47716
C432,61,Other,48009
C433,19,Male,61699
C434,51,Other,117592
C435,65,Male,103893
C436,40,Male,88859
C437,49,Male,48342
C438,46,Female,130236
C439,58,Male,51693
C440,57,Female,40342
C441,66,Other,111455
C442,39,Other,53492
C443,67,Other,82557
C444,44,Other,38875
C445,43,Female,129967
C446,47,Other,93054
C447,56,Female,33165
C448,22,Female,47542
C449,50,Other,114291
C450,55,Other,118744
C451,31,Female,95447
C452,37,Other,37854
C453,32,Female,100810
C454,54,Male,46881
C455,68,Male,136070
C456,63,Other,94429
C457,35,Other,85641
C458,32,Male,131999
C459,44,Male,43619
C460,41,Other,86612
C461,34,Female,39311
C462,64,Male,66349
C463,41,Other,64294
C464,66,Female,62085
C465,35,Female,142020
C466,63,Male,140004
C467,25,Male,45467
C468,22,Female,75511
C469,58,Female,148102
C470,66,Female,106961
C471,34,Female,137578
C472,64,Female,73878
C473,26,Male,74747
C474,41,Other,100720
C475,56,Female,65181
C476,37,Female,107175
C477,69,Other,122903
C478,32,Female,76660
C479,38,Other,84403
C480,33,Other,85185
C481,37,Other,74014
C482,47,Male,108353
C483,31,Male,55874
C484,41,Female,110751
C485,49,Other,91748
C486,35,Other,80941
C487,68,Male,95572
C488,35,Female,38044
C489,50,Male,99351
C490,62,Male,106751
C491,47,Female,63549
C492,67,Male,123972
C493,49,Other,70723
C494,44,Male,102993
