PurchaseID,CustomerID,ProductID,PurchaseAmount,PurchaseDate
PH1,C758,P2746,215.34,2023-02-05
PH2,C457,P323,207.93,2023-05-14
PH3,C1878,P2437,936.2,2023-02-15
PH4,C715,P4640,272.15,2023-06-16
PH5,C2330,P1859,21.34,2023-02-26
PH6,C1673,P110,554.21,2023-01-14
PH7,C1640,P4325,847.39,2023-02-25
PH8,C4446,P4963,281.68,2023-05-19
PH9,C3136,P1109,309.66,2023-11-12
PH10,C2071,P3032,584.2,2023-01-28
PH11,C4136,P1582,564.56,2023-04-18
PH12,C1198,P2618,575.65,2023-03-26
PH13,C1120,P2051,885.99,2023-02-22
PH14,C2278,P1494,527.8,2023-08-21
PH15,C1507,P1623,868.77,2023-01-08
PH16,C661,P876,591.51,2023-03-30
PH17,C3376,P992,17.93,2023-12-10
PH18,C879,P1642,55.52,2023-04-11
PH19,C1760,P2979,573.74,2023-08-21
PH20,C1093,P1969,927.59,2023-02-28
PH21,C3367,P739,292.17,2023-01-20
PH22,C4767,P764,814.6,2023-02-08
PH23,C4011,P3925,564.78,2023-06-22
PH24,C2356,P3160,227.13,2023-03-12
PH25,C3488,P439,129.3,2023-02-14
PH26,C2840,P3146,659.26,2023-08-12
PH27,C2022,P2543,552.01,2023-11-14
PH28,C4386,P4518,950.97,2023-08-07
PH29,C2017,P4843,158.84,2023-01-14
PH30,C3424,P1528,333.16,2023-10-29
PH31,C3407,P542,597.61,2023-02-17
PH32,C3713,P2772,274.94,2023-02-16
PH33,C2798,P2351,265.82,2023-01-23
PH34,C2886,P2271,902.91,2023-12-01
PH35,C91,P2914,440.52,2023-11-07
PH36,C1462,P2777,654.22,2023-02-06
PH37,C3841,P933,430.97,2023-08-21
PH38,C4742,P2029,407.45,2023-05-19
PH39,C378,P3346,437.77,2023-06-30
PH40,C4528,P4407,401.79,2023-01-28
PH41,C587,P753,180.16,2023-12-23
PH42,C2801,P2210,122.59,2023-08-16
PH43,C1185,P1859,461.02,2023-08-16
PH44,C623,P4480,495.28,2023-10-19
PH45,C3285,P132,952.37,2023-11-26
PH46,C2239,P2404,959.95,2023-02-11
PH47,C3382,P302,432.84,2023-09-06
PH48,C4015,P1293,681.96,2023-04-22
PH49,C824,P2543,67.29,2023-06-19
PH50,C3831,P464,847.56,2023-05-23
PH51,C747,P994,265.48,2023-01-08
PH52,C1872,P1423,494.84,2023-05-17
PH53,C4141,P166,127.53,2023-01-16
PH54,C3596,P1791,566.03,2023-03-28
PH55,C2400,P1421,355.22,2023-02-24
PH56,C3834,P3441,490.83,2023-07-07
PH57,C2244,P2843,539.44,2023-07-11
PH58,C242,P1514,110.17,2023-06-14
PH59,C3443,P4056,637.11,2023-04-28
PH60,C4806,P268,130.98,2023-03-15
PH61,C3565,P3248,665.45,2023-02-16
PH62,C2180,P3445,848.94,2023-08-29
PH63,C2762,P2364,370.42,2023-05-24
PH64,C4409,P731,586.99,2023-07-23
PH65,C4420,P1204,825.82,2023-04-15
PH66,C886,P1725,226.25,2023-01-20
PH67,C1127,P2219,46.3,2023-12-14
PH68,C588,P2259,979.85,2023-01-02
PH69,C1173,P3514,942.98,2023-01-12
PH70,C1864,P1376,757.55,2023-08-07
PH71,C3931,P4325,27.24,2023-04-27
PH72,C943,P4880,549.43,2023-10-21
PH73,C544,P3954,963.22,2023-05-26
PH74,C887,P3885,855.51,2023-12-12
PH75,C3607,P3313,40.59,2023-04-06
PH76,C2324,P2096,997.49,2023-04-02
PH77,C1951,P2459,254.49,2023-02-18
PH78,C2753,P2753,279.17,2023-01-16
PH79,C3112,P343,551.5,2023-04-21
PH80,C1518,P3176,596.27,2023-10-02
PH81,C3157,P3193,985.96,2023-03-24
PH82,C1859,P2782,77.89,2023-09-13
PH83,C2227,P3,44.3,2023-03-15
PH84,C1069,P2264,300.06,2023-10-26
PH85,C2385,P141,419.19,2023-05-03
PH86,C3024,P763,763.6,2023-11-01
PH87,C2826,P2403,142.39,2023-07-07
PH88,C4298,P1101,946.36,2023-01-27
PH89,C2898,P4094,44.16,2023-09-07
PH90,C1898,P3504,889.41,2023-02-02
PH91,C150,P3832,967.07,2023-07-17
PH92,C3322,P2720,806.39,2023-09-02
PH93,C804,P1932,280.83,2023-08-07
PH94,C2561,P3664,983.01,2023-03-27
PH95,C1406,P2574,911.82,2023-09-13
PH96,C2702,P4163,543.4,2023-11-01
PH97,C988,P3162,365.61,2023-03-12
PH98,C4259,P3932,920.43,2023-09-01
PH99,C3250,P4832,702.88,2023-01-12
PH100,C714,P1748,478.92,2023-02-21
PH101,C416,P2589,601.54,2023-10-21
PH102,C4968,P451,154.71,2023-06-02
PH103,C1798,P1087,145.68,2023-08-28
PH104,C646,P2818,892.77,2023-05-29
PH105,C914,P3694,533.03,2023-10-14
PH106,C4835,P3563,583.85,2023-08-30
PH107,C2713,P2531,605.47,2023-10-05
PH108,C3908,P614,932.29,2023-06-20
PH109,C4071,P306,67.41,2023-09-02
PH110,C1489,P1479,348.28,2023-07-20
PH111,C3838,P2584,467.86,2023-10-19
PH112,C1883,P2063,234.36,2023-04-26
PH113,C9,P4688,207.06,2023-03-15
PH114,C130,P3764,524.94,2023-05-10
PH115,C905,P1149,12.78,2023-12-14
PH116,C2596,P3995,810.58,2023-11-07
PH117,C3703,P2992,757.49,2023-05-23
PH118,C2644,P1244,41.47,2023-09-03
PH119,C1556,P1914,210.73,2023-10-12
PH120,C4525,P4905,497.25,2023-09-14
PH121,C3013,P4757,681.96,2023-11-03
PH122,C1212,P3536,124.41,2023-02-09
PH123,C870,P4983,227.45,2023-02-01
PH124,C4258,P343,778.95,2023-09-12
PH125,C4646,P628,922.59,2023-12-25
PH126,C3281,P646,524.67,2023-02-26
PH127,C1006,P2590,66.14,2023-11-27
PH128,C2420,P4712,937.75,2023-09-03
PH129,C1733,P2149,273.14,2023-06-03
PH130,C3475,P3984,703.18,2023-08-26
PH131,C698,P4663,260.01,2023-08-17
PH132,C3958,P4037,697.64,2023-09-20
PH133,C4678,P2162,341.86,2023-01-24
PH134,C1223,P2129,894.4,2023-11-28
PH135,C1722,P2221,72.82,2023-01-20
PH136,C4420,P606,831.59,2023-01-24
PH137,C1892,P4690,514.47,2023-01-31
PH138,C1527,P230,214.74,2023-10-27
PH139,C1533,P4313,910.95,2023-10-19
PH140,C1257,P3006,726.44,2023-03-02
PH141,C1161,P2759,697.35,2023-01-28
PH142,C1625,P1801,101.17,2023-06-01
PH143,C3514,P4416,625.91,2023-04-01
PH144,C3955,P4621,918.63,2023-09-20
PH145,C3693,P1187,949.92,2023-11-13
PH146,C1674,P16,722.76,2023-08-28
PH147,C2124,P2220,312.55,2023-02-12
PH148,C3584,P2911,937.78,2023-09-06
PH149,C3822,P3184,519.07,2023-08-21
PH150,C1291,P3038,950.89,2023-05-26
PH151,C3062,P2012,638.93,2023-03-06
PH152,C3739,P129,259.85,2023-06-14
PH153,C2597,P4955,106.53,2023-07-25
PH154,C2790,P4060,391.48,2023-03-08
PH155,C2459,P3796,256.77,2023-09-08
PH156,C4106,P611,583.12,2023-01-26
PH157,C4374,P3519,994.09,2023-09-08
PH158,C3534,P3290,175.62,2023-04-22
PH159,C1148,P3705,990.69,2023-05-16
PH160,C3426,P2034,272.03,2023-02-20
PH161,C2373,P284,17.72,2023-06-27
PH162,C1485,P4031,534.43,2023-03-08
PH163,C886,P1033,227.64,2023-12-21
PH164,C1892,P1390,143.46,2023-01-11
PH165,C1273,P3692,325.04,2023-01-12
PH166,C2967,P1328,688.0,2023-02-16
PH167,C2617,P3174,374.25,2023-04-05
PH168,C3099,P2941,469.94,2023-02-20
PH169,C1676,P1887,301.91,2023-03-09
PH170,C528,P2693,884.6,2023-07-14
PH171,C3189,P2588,424.07,2023-01-27
PH172,C1786,P3466,480.73,2023-11-10
PH173,C2319,P1419,288.23,2023-09-25
PH174,C2828,P2779,517.18,2023-04-15
PH175,C1561,P134,978.3,2023-05-07
PH176,C514,P2628,361.07,2023-09-12
PH177,C3783,P4059,93.02,2023-10-14
PH178,C554,P1085,792.37,2023-11-02
PH179,C3458,P4686,963.0,2023-08-10
PH180,C2789,P823,994.21,2023-02-14
PH181,C394,P4824,939.27,2023-10-01
PH182,C440,P1789,321.47,2023-09-08
PH183,C4971,P1468,527.12,2023-09-07
PH184,C1435,P4644,766.73,2023-03-09
PH185,C4367,P1692,334.76,2023-10-03
PH186,C1717,P4156,565.32,2023-01-07
PH187,C791,P3173,944.61,2023-03-09
PH188,C4062,P1287,82.53,2023-05-15
PH189,C1048,P4064,817.59,2023-08-27
PH190,C4409,P786,948.15,2023-01-05
PH191,C2651,P4334,987.29,2023-12-20
PH192,C724,P3300,436.83,2023-12-20
PH193,C3473,P4095,611.79,2023-10-15
PH194,C1381,P19,281.48,2023-10-30
PH195,C1447,P1551,174.78,2023-08-31
PH196,C2808,P1902,490.25,2023-11-20
